Region,2020 w1,2020 w2,2020 w3,2020 w4,2020 w5,2020 w6,2020 w7,2020 w8,2020 w9,2020 w10,2020 w11,2020 w12,2020 w13,2020 w14,2020 w15,2020 w16,2020 w17,2020 w18,2020 w19,2020 w20,2020 w21,2020 w22,2020 w23,2020 w24,2020 w25,2020 w26,2020 w27,2020 w28,2020 w29,2020 w30,2020 w31,2020 w32,2020 w33,2020 w34,2020 w35,2020 w36,2020 w37,2020 w38,2020 w39,2020 w40,2020 w41,2020 w42,2020 w43,2020 w44,2020 w45,2020 w46,2020 w47,2020 w48,2020 w49,2020 w50,2020 w51,2020 w52,2020 w53,2021 w1,2021 w2,2021 w3,2021 w4,2021 w5,2021 w6,2021 w7,2021 w8,2021 w9,2021 w10,2021 w11,2021 w12,2021 w13,2021 w14,2021 w15,2021 w16,2021 w17,2021 w18,2021 w19,2021 w20,2021 w21,2021 w22,2021 w23,2021 w24,2021 w25,2021 w26,2021 w27,2021 w28,2021 w29,2021 w30,2021 w31,2021 w32,2021 w33,2021 w34,2021 w35,2021 w36,2021 w37,2021 w38,2021 w39,2021 w40,2021 w41,2021 w42,2021 w43,2021 w44,2021 w45,2021 w46,2021 w47,2021 w48,2021 w49,2021 w50,2021 w51,2021 w52,2021 w53,2022 w1,2022 w2,2022 w3,2022 w4,2022 w5,2022 w6,2022 w7,2022 w8,2022 w9,2022 w10,2022 w11,2022 w12,2022 w13,2022 w14,2022 w15,2022 w16,2022 w17,2022 w18,2022 w19,2022 w20,2022 w21,2022 w22,2022 w23,2022 w24,2022 w25,2022 w26,2022 w27,2022 w28,2022 w29,2022 w30,2022 w31,2022 w32,2022 w33,2022 w34,2022 w35,2022 w36,2022 w37,2022 w38,2022 w39,2022 w40,2022 w41,2022 w42,2022 w43,2022 w44,2022 w45,2022 w46,2022 w47,2022 w48,2022 w49,2022 w50,2022 w51,2022 w52,2022 w53,2023 w1,2023 w2,2023 w3,2023 w4,2023 w5,2023 w6,2023 w7,2023 w8,2023 w9,2023 w10,2023 w11,2023 w12,2023 w13,2023 w14,2023 w15,2023 w16,2023 w17,2023 w18,2023 w19,2023 w20,2023 w21,2023 w22,2023 w23,2023 w24,2023 w25,2023 w26,2023 w27,2023 w28,2023 w29,2023 w30,2023 w31,2023 w32,2023 w33,2023 w34,2023 w35,2023 w36,2023 w37,2023 w38,2023 w39,2023 w40,2023 w41,2023 w42,2023 w43,2023 w44,2023 w45,2023 w46,2023 w47,2023 w48,2023 w49,2023 w50,2023 w51,2023 w52
Blekinge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.3,5.6,9.4,3.8,0.6,13.2,6.3,6.9,11.3,27.6,42.6,51.4,51.4,23.8,16.9,10.0,6.9,5.0,1.9,6.9,20.7,28.8,13.8,9.4,1.9,2.5,8.8,48.2,45.1,38.2,19.4,40.7,88.3,101.5,140.3,157.3,228.7,287.0,348.4,389.1,438.6,572.7,495.4,390.4,238.3,134.5,132.7,94.9,108.8,76.1,106.9,112.5,132.7,190.5,241.4,286.1,372.2,413.7,348.9,286.1,183.6,130.8,74.8,61.6,52.2,36.5,24.5,11.9,6.9,8.8,9.4,5.7,22.6,35.2,32.1,37.7,62.9,56.0,26.4,20.7,13.8,14.5,17.6,29.5,23.3,48.4,59.7,50.9,140.8,157.2,164.1,225.1,204.3,413.7,..,488.9,1026.8,1589.3,2431.2,1643.4,639.2,209.5,164.8,125.2,86.2,88.7,56.6,25.2,24.5,17.6,25.8,14.5,5.0,13.8,12.0,5.7,6.3,8.2,20.1,57.3,40.3,22.0,20.8,50.3,44.0,61.0,47.2,37.1,28.9,20.1,51.0,40.9,39.0,25.2,30.2,40.9,18.2,25.8,20.8,27.1,27.7,42.8,87.5,139.0,151.0,159.2,108.2,..,65.5,40.3,24.6,15.7,12.6,3.8,4.4,3.8,3.1,2.5,3.1,4.4,8.2,9.4,7.6,12.0,6.9,5.7,2.5,5.0,3.1,1.9,1.9,3.1,1.9,2.5,1.9,0.0,2.5,1.9,1.9,1.9,0.6,1.9,0.6,4.4,3.8,1.3,1.9,5.7,5.0,4.4,10.1,13.2,21.4,15.7,22.0,8.8,17.0,12.6,15.1,7.6
Dalarna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.9,24.3,35.4,55.2,47.9,68.8,39.9,57.0,29.5,29.2,28.8,34.4,26.0,20.8,58.0,61.8,20.1,18.1,10.4,9.4,16.7,12.8,14.6,19.4,19.8,27.4,57.0,30.6,35.1,29.2,55.9,74.0,154.2,215.7,240.0,218.8,276.8,291.4,353.9,394.1,338.2,342.7,248.2,211.3,177.6,118.9,106.7,115.4,132.1,167.5,201.6,274.6,321.5,394.2,381.3,512.4,394.2,403.6,354.9,311.8,258.6,170.3,90.7,70.9,35.5,19.1,14.3,13.2,7.6,9.7,4.5,12.5,24.3,39.3,40.3,59.1,63.3,84.8,75.1,42.8,37.9,20.5,33.0,42.4,45.2,26.8,20.5,40.3,70.2,77.2,227.7,279.8,274.6,582.3,..,1360.7,1423.8,2328.1,2982.8,2137.8,828.1,325.3,240.0,203.9,189.3,131.8,103.3,77.3,73.9,57.9,43.0,39.2,27.7,35.0,24.3,30.9,31.2,61.0,36.1,48.2,60.0,79.1,86.7,114.1,103.7,122.8,132.1,207.0,157.4,227.5,234.1,126.9,198.7,54.1,59.6,47.9,51.3,60.3,73.5,75.2,87.7,46.5,121.7,178.6,227.1,207.4,183.1,..,131.5,73.9,29.8,23.6,21.5,18.7,8.0,2.4,5.9,6.2,8.3,8.3,6.6,8.7,9.0,11.4,9.4,12.8,10.4,14.6,5.2,3.8,7.6,7.3,4.2,3.1,3.5,3.1,1.0,1.7,0.7,1.0,7.3,10.4,10.8,7.6,7.3,6.9,7.3,9.7,12.8,21.2,29.5,32.6,42.7,34.3,30.5,23.6,31.9,18.0,17.0,17.0
Gotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.0,10.1,5.0,3.4,5.0,20.1,36.9,16.8,5.0,8.4,18.4,16.8,35.2,33.5,45.2,21.8,23.5,31.8,40.2,35.2,57.0,36.9,13.4,5.0,1.7,5.0,8.4,5.0,26.8,25.1,23.5,55.3,117.3,311.6,388.7,291.5,387.0,536.1,392.1,330.1,202.7,192.7,252.8,138.0,94.8,49.9,33.3,44.9,24.9,54.9,106.4,104.8,114.8,178.0,164.7,256.1,302.7,214.6,131.4,174.6,159.7,111.4,46.6,36.6,24.9,11.6,20.0,8.3,16.6,15.0,41.6,154.7,222.9,168.0,84.8,91.5,43.2,51.6,20.0,11.6,5.0,6.7,8.3,5.0,1.7,11.6,24.9,104.8,103.1,76.5,76.5,44.9,78.2,635.4,..,890.1,1649.2,2272.1,2086.9,1749.2,650.8,204.9,162.3,141.0,82.0,36.1,44.3,32.8,21.3,34.4,21.3,21.3,19.7,11.5,1.6,8.2,6.6,4.9,6.6,27.9,42.6,39.3,63.9,52.5,42.6,80.3,55.7,36.1,11.5,21.3,31.1,54.1,37.7,32.8,21.3,13.1,9.8,13.1,6.6,6.6,26.2,36.1,57.4,52.5,157.4,165.6,116.4,..,36.0,21.3,6.5,14.7,42.5,9.8,3.3,3.3,3.3,8.2,6.5,3.3,13.1,1.6,9.8,4.9,13.1,6.5,4.9,8.2,4.9,8.2,9.8,11.4,4.9,0.0,0.0,3.3,0.0,1.6,0.0,3.3,36.0,6.5,13.1,6.5,13.1,8.2,6.5,4.9,11.4,14.7,44.1,42.5,62.1,39.2,49.0,24.5,27.8,29.4,24.5,16.3
Gävleborg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.7,5.9,18.1,36.9,37.6,42.1,37.9,39.0,61.2,59.2,52.9,57.4,80.4,97.4,83.5,129.1,80.4,80.7,31.0,21.9,7.7,12.2,15.0,11.8,9.7,8.0,14.6,12.9,25.7,26.1,27.1,21.6,36.2,83.5,168.8,266.2,353.9,421.4,487.2,542.1,872.0,438.4,498.6,442.1,215.7,176.0,150.6,205.9,248.7,315.8,407.6,520.7,483.8,480.7,523.8,417.4,557.9,420.9,351.3,269.9,315.1,240.3,155.8,75.5,52.9,23.7,9.4,4.5,17.7,9.7,9.4,13.9,17.7,27.1,53.2,31.7,41.7,48.7,48.7,35.8,19.8,37.9,56.7,45.9,40.7,69.6,53.9,67.8,90.4,131.1,154.8,245.6,221.2,205.9,362.1,..,884.4,1309.0,2422.4,2720.3,1783.7,737.4,283.9,206.4,185.2,143.9,109.5,84.1,58.7,22.2,16.7,14.6,16.0,9.7,11.5,5.2,1.4,6.3,3.5,4.9,5.2,9.0,9.0,15.3,23.3,25.4,24.7,31.6,23.3,14.9,14.6,18.8,23.6,24.0,20.5,17.0,11.8,10.4,14.9,10.1,11.1,14.9,22.9,35.4,45.9,58.7,55.9,45.2,..,36.2,16.0,17.4,9.4,9.7,6.6,8.7,4.9,5.2,4.2,6.6,7.0,8.0,6.3,13.2,12.9,7.0,7.3,7.0,8.7,4.5,2.4,5.9,3.8,2.4,2.8,3.8,0.7,1.4,2.8,2.8,1.4,4.5,4.2,9.7,9.0,6.3,4.9,5.9,11.8,17.7,17.7,33.4,27.1,39.0,33.1,21.6,13.6,35.5,19.5,22.3,16.7
Halland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.3,5.1,9.3,12.9,15.9,15.6,26.4,17.4,27.9,23.1,30.3,37.4,40.7,45.5,36.5,71.9,48.8,16.8,10.5,9.3,18.0,29.7,27.3,29.7,22.8,27.9,23.7,25.2,32.1,46.7,46.4,41.3,58.4,139.9,166.8,295.3,161.5,233.0,318.7,357.6,359.4,335.8,606.6,664.9,446.0,342.4,335.0,309.7,348.3,351.0,415.7,500.7,479.6,527.4,655.1,572.8,508.1,435.9,320.4,255.1,230.7,163.9,145.5,68.9,103.3,37.1,17.2,16.0,22.9,18.7,22.6,35.0,47.5,46.3,56.7,75.1,66.5,63.5,71.0,63.5,34.2,27.0,31.2,23.5,27.0,27.9,30.6,56.4,74.5,169.0,171.9,180.6,231.6,316.6,855.2,..,1568.6,2409.7,4335.1,3572.7,2221.4,747.1,250.1,201.3,140.5,108.7,99.3,71.1,63.5,49.4,39.7,32.9,34.1,25.6,15.9,14.7,13.2,18.2,24.4,28.2,54.1,51.4,53.8,64.7,84.4,76.4,91.1,86.1,72.6,55.3,50.6,39.1,44.4,47.9,26.5,64.1,40.0,50.6,53.5,56.4,52.9,34.7,44.7,76.7,134.9,169.3,191.0,155.2,..,104.7,61.8,32.4,27.7,32.4,23.3,19.3,14.3,16.3,14.6,13.1,12.8,7.0,12.0,13.4,20.4,14.6,8.5,20.7,15.2,5.8,6.4,3.8,4.7,5.0,4.1,4.1,5.3,2.0,4.4,4.4,3.8,3.5,5.8,8.8,7.6,6.4,7.6,4.1,9.0,11.7,15.5,28.6,31.5,46.7,39.4,41.7,26.3,47.5,46.4,41.1,28.0
Jämtland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,26.0,19.9,8.4,32.1,61.9,48.2,61.9,61.2,78.0,74.2,71.9,61.9,56.6,67.3,41.3,28.3,16.1,16.8,14.5,6.9,13.8,13.8,1.5,9.2,16.8,6.9,13.8,20.6,42.8,94.8,81.0,45.9,40.5,105.5,212.5,341.0,271.4,246.9,271.4,314.2,263.7,307.3,308.0,205.1,189.1,163.9,191.4,169.3,202.1,252.4,279.8,282.1,330.9,273.0,308.0,471.2,449.8,396.5,376.7,395.7,281.3,221.1,103.7,57.2,25.9,4.6,7.6,6.9,21.3,5.3,9.1,34.3,29.7,51.8,65.6,44.2,53.4,43.5,47.3,24.4,29.7,19.1,18.3,28.2,35.8,12.2,23.6,30.5,87.7,69.4,163.2,199.8,252.4,996.5,..,1873.5,3222.2,2186.2,2518.7,1331.3,716.4,244.6,209.8,183.3,125.7,90.9,72.7,43.9,38.6,26.5,20.4,35.6,27.3,22.0,15.9,18.9,13.6,11.4,16.7,44.7,40.9,35.6,53.0,65.1,103.7,199.2,116.6,78.8,50.0,27.3,35.6,31.8,31.8,18.2,43.2,32.6,50.0,42.4,30.3,28.0,25.0,46.2,56.0,90.9,109.8,104.5,81.0,..,68.6,38.4,23.4,15.8,18.8,7.5,6.0,1.5,6.0,4.5,8.3,9.0,9.0,13.6,2.3,4.5,6.8,4.5,7.5,6.8,6.8,3.0,6.0,6.0,3.0,1.5,0.0,0.0,1.5,0.0,5.3,3.8,5.3,7.5,4.5,9.0,3.0,10.6,12.8,12.8,13.6,25.6,35.4,60.3,43.7,24.9,24.9,11.3,18.8,26.4,19.6,13.6
Jönköping,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.6,10.2,4.1,15.4,36.6,28.9,42.1,50.1,44.0,42.9,46.2,44.6,61.6,60.0,174.9,210.9,216.2,93.2,48.7,28.9,16.5,17.3,22.3,18.7,17.1,8.8,21.5,36.3,28.9,26.4,31.4,54.5,75.4,74.5,245.3,296.5,351.8,356.7,292.4,291.8,334.2,392.5,321.0,385.3,382.5,286.0,279.7,283.8,257.8,291.8,295.6,327.7,311.2,383.6,453.4,474.2,423.8,443.8,363.0,303.3,320.5,329.9,219.4,186.0,72.1,145.7,57.8,36.4,27.7,22.2,18.6,12.1,13.4,15.9,29.0,38.9,63.6,47.4,61.6,62.7,58.6,38.9,41.1,22.2,30.7,37.3,34.2,24.7,35.3,36.4,55.3,102.5,159.4,182.5,157.5,438.9,..,786.2,1710.9,2223.3,2570.7,1390.2,447.1,170.3,119.9,93.4,78.2,58.3,51.5,41.1,41.1,18.3,20.2,18.0,11.2,7.6,10.9,5.7,11.7,11.4,10.6,28.6,34.6,39.8,40.9,48.2,47.9,53.9,63.5,52.6,41.1,45.2,59.1,62.1,48.8,46.9,35.1,41.1,34.3,40.6,33.5,37.6,35.1,39.5,58.3,70.6,114.1,109.8,83.4,..,51.2,35.5,26.3,16.0,15.7,13.8,12.5,8.4,11.6,16.8,13.3,14.6,14.6,13.5,16.5,17.1,12.2,11.9,7.0,4.9,6.2,4.3,4.6,3.3,1.9,3.3,1.1,1.1,3.5,1.9,5.7,1.9,7.9,6.8,8.9,6.5,4.6,11.1,5.1,10.6,10.6,8.9,22.2,30.9,43.1,39.3,42.0,37.9,36.8,29.5,26.3,28.2
Kalmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.0,7.7,8.6,7.7,11.4,17.5,16.3,17.5,12.2,9.8,29.7,22.8,28.9,28.9,25.7,34.6,13.9,5.7,6.9,6.5,5.7,10.6,16.7,9.8,3.7,3.3,4.5,4.5,5.7,8.6,15.1,41.6,76.2,129.6,188.2,182.9,268.1,251.8,297.0,344.7,311.3,374.8,438.6,294.7,227.2,174.4,142.3,121.9,178.4,221.5,254.1,249.6,346.3,520.7,457.7,558.9,546.7,485.8,495.5,487.4,312.2,205.3,87.4,100.4,42.7,39.0,19.1,8.9,8.9,9.3,17.9,19.1,18.7,32.1,56.1,52.0,59.8,52.4,41.5,16.7,30.9,26.8,27.6,58.5,71.5,81.7,85.4,94.7,131.3,136.2,202.0,235.4,188.6,410.6,..,737.1,1111.4,2234.0,2836.5,2742.6,1319.3,344.3,254.1,196.6,176.4,114.9,74.8,62.3,33.2,23.5,24.3,21.0,23.9,15.4,9.7,19.8,14.2,5.7,13.4,15.0,30.7,40.1,66.3,60.3,55.8,53.4,45.7,43.3,42.5,42.5,43.7,75.3,68.0,110.4,72.0,61.9,56.2,60.7,54.2,49.4,40.9,57.9,82.9,125.0,155.0,179.2,104.8,..,105.0,65.0,36.3,23.0,17.4,9.3,8.5,10.5,7.7,7.7,9.7,16.1,22.2,22.6,22.6,23.4,11.7,12.5,8.9,6.1,4.8,2.0,2.0,1.2,1.2,0.4,0.8,0.4,0.4,0.4,1.6,4.0,3.6,2.8,1.6,2.8,4.4,5.2,3.2,0.8,14.1,7.7,21.0,40.4,42.0,56.1,50.5,39.6,40.0,25.0,16.6,11.3
Kronoberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,1.5,7.4,10.4,23.3,37.2,43.7,45.2,73.0,64.0,57.1,52.1,40.2,36.2,16.9,12.4,5.0,9.4,13.4,9.4,13.9,31.3,44.7,22.8,21.3,18.9,29.8,43.7,55.6,37.7,34.2,60.1,154.9,231.3,350.4,359.4,275.5,309.2,268.5,352.9,465.6,370.3,489.9,512.7,337.7,310.5,298.1,229.4,251.7,224.0,169.6,153.3,111.7,158.2,161.7,225.0,348.6,398.0,488.5,517.1,534.5,405.9,222.5,136.5,92.5,85.0,49.9,41.5,27.7,12.9,18.3,27.7,16.8,27.7,26.7,40.0,67.2,84.0,86.5,44.5,26.2,27.2,23.7,48.0,48.0,23.7,31.6,29.2,38.1,38.6,81.1,85.0,107.3,172.5,460.8,..,1058.8,1440.4,2774.2,2787.9,1739.0,620.1,266.5,181.0,170.2,145.1,140.7,96.4,60.0,49.2,33.4,24.1,17.7,9.3,11.3,17.2,8.4,10.8,11.8,19.7,20.7,24.6,41.8,41.8,50.7,64.4,69.3,56.1,66.9,49.7,58.0,51.6,40.3,58.5,60.5,46.2,45.7,38.9,59.0,56.6,43.3,40.3,64.9,85.6,147.5,199.2,177.5,111.6,..,66.1,53.8,25.4,30.3,42.1,33.3,17.1,12.2,9.3,5.4,6.4,9.8,12.7,12.7,11.3,14.7,7.8,5.4,7.3,5.4,6.4,4.9,4.4,5.4,5.4,5.9,2.9,1.5,0.5,1.5,0.5,0.5,2.4,2.9,3.4,5.9,7.3,2.9,5.4,5.9,4.4,8.8,21.5,32.3,54.3,47.0,50.9,37.2,35.2,31.8,22.0,18.1
Norrbotten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.6,11.6,14.0,21.6,22.0,16.4,14.4,12.0,15.2,8.8,22.4,35.2,73.2,102.4,136.3,44.0,40.4,18.0,15.2,10.0,9.6,9.6,2.8,4.0,2.0,2.8,6.0,11.2,29.6,38.4,36.8,50.0,90.0,214.7,235.1,294.3,361.5,271.1,285.9,224.3,171.9,205.9,215.9,254.8,231.6,185.5,183.5,194.3,296.5,330.5,447.5,294.5,392.6,260.4,378.6,421.1,435.1,367.8,379.0,419.4,408.2,403.4,248.4,237.2,142.2,180.3,111.8,50.9,16.4,19.6,17.6,40.5,22.8,26.8,24.4,6.0,18.4,31.6,18.8,41.7,52.1,75.7,60.9,67.7,88.5,65.7,65.3,34.1,48.9,55.7,80.9,102.6,134.6,342.9,..,644.4,923.9,1326.4,1579.5,1187.5,569.5,221.9,225.1,150.2,116.1,94.1,80.9,64.9,44.5,31.2,24.8,26.8,13.6,14.8,17.6,19.6,14.8,12.0,28.8,18.8,26.0,30.4,49.3,37.2,43.3,52.9,58.1,55.3,30.8,28.8,31.6,29.2,33.2,29.6,30.4,22.8,41.3,43.3,44.9,45.3,49.3,31.6,41.7,40.0,66.1,42.5,32.0,..,22.9,27.3,18.1,7.6,5.6,6.8,6.8,5.2,9.2,10.4,10.4,9.2,8.8,8.8,12.4,10.0,8.4,8.0,13.2,12.4,8.0,9.6,7.2,6.0,1.2,3.6,1.6,0.0,1.6,1.2,2.8,1.2,1.6,2.0,2.0,2.8,6.0,4.4,7.6,4.0,6.0,10.0,12.4,23.7,29.3,34.1,24.9,11.2,12.8,8.4,6.8,10.4
